Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
DENL045,Đèn led gắn Block LED 3mm Twin Red,24 tháng,0,99000,img/FAN/,
DENL042,Đèn led gắn Block LED 5mm Single Ultra White,24 tháng,0,99000,img/FAN/,
DENL043,Đèn led gắn Block LED 5mm Twin Ultra Blue,24 tháng,0,99000,img/FAN/,
HHTL701,Tản nhiệt CPU Thermaltake Water 3.0 240 ARGB Sync Edition (CL-W233-PL12SW-A) FANC635,24 tháng,3289000,1500000,img/FAN/,
DENL056,Đèn LED 3mm Twin Ultra UV,24 tháng,0,99000,img/FAN/,
DENL057,Đèn LED 3mm Twin Ultra Green,24 tháng,0,99000,img/FAN/,
HHTL459,Đèn LED NZXT UNDER GLOW KIT HUE 2 loại dài (Hàng thanh lý - Mới 98%),24 tháng,399000,149000,img/FAN/,
