,Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
0,CSIW076,Vỏ Case Inwin 303C Black (Mid Tower/Màu Đen),12 tháng,2999000,2789000,img/CASE/,['']
1,CSIW077,Vỏ Case Inwin 309  (Mid Tower),12 tháng,6289000,5689000,img/CASE/,['']
2,CSIW078,Vỏ Case InWin 101C Black  (Mid Tower/Màu Đen),12 tháng,2399000,2099000,img/CASE/,['']
3,CSIW079,Vỏ Case InWin 101C White  (Mid Tower/Màu Trắng),12 tháng,2399000,2099000,img/CASE/,['']
4,CSIW081,Vỏ Case InWin Z-Tower Ultra Rare Limited Edition,12 tháng,159999000,99999000,img/CASE/,['']
