Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
CPUI330,"CPU Intel Xeon E5-2680 v3 (2.50GHz turbo up to 3.30GHz, 12 nhân, 24 luồng, 30MB Cache, 120W) - Socket Intel LGA 2011-v3 (Tray)",24 tháng,0,6989000,img/CPU/250_48823_hnc_intel_xeon_e5_right_facing_850x850.jpg,"- CPU này chạy được trên mainboard X99 và Dual CPU .- Tốc độ 2.0 GHz to 3.0GHz / cache 35MB / 14 Cores 28 Threads/ Socket 2011-3.- CPU Tray không hộp.- Sản xuất trên công nghệ 22nm cung cấp hiệu suất đáng kể và hiệu quả hơn thế hệ vi xử lý E5 2600 v1, v2 đời trước. Dòng E5 2683 được thiết kế với 14 cores và 28 luồng xử lý dữ liệu, có thể lên tới 28 core và 56 luồng xử lý dữ liệu khi cắm dual cpu. Đem lại hiệu xuất tuyệt vời trong các tác vụ đa nhiệm..- Dải xung nhịp từ 2.0 GHz đến 3.0 GHz đem tới hiệu suất mạnh mẽ cho dòng sản phẩm này, ta có thể sử dụng vào rất nhiều giải pháp như: Giải pháp server xử lý số liệu, Giải pháp cho các máy Workstations chuyên nghiệp cần hoạt động đa tác vụ (xử lý Video 4K, Render nội cảnh...)."
CPUI291,"CPU Intel Xeon E5 2678 V3 (2.5GHz, 12 nhân 24 luồng, 30MB Cache, 120W) - Socket Intel LGA 2011-v3 (T)",24 tháng,0,5189000,img/CPU/250_43245_hnc_intel_xeon_e5_right_facing_850x850.jpg,- CPU này chạy được trên mainboard X99 và Dual CPU .- Xeon E5 2678 V3 2.5 GHz / 30MB / 12 cores 24 threads /Socket 2011-3.- CPU Tray không hộp.
CPUI327,"CPU Intel Xeon E-2236 (3.4GHz turbo up to 4.8GHz, 6 nhân, 12 luồng, 12 MB Cache, 80W) - Socket Intel LGA 1151-v2",24 tháng,0,7799000,img/CPU/250_48418_hnc_intel_xeon_e_coffee_lake_right_facing_850x850.jpg,"- Dòng sản phẩm chuyên biệt dành cho máy trạm giá rẻ.- Phù hợp cho các phần mềm render, thiết kế.- 6 nhân & 12 luồng.- Xung nhịp: 3.4 GHz (Cơ bản) / 4.8 GHz (Boost).- Socket: LGA 1151v2 (C246)."
CPUI376,"CPU Intel Core i7-10700K (3.8GHz turbo up to 5.1GHz, 8 nhân 16 luồng, 16MB Cache, 125W) - Socket Intel LGA 1200",24 tháng,10899000,10599000,img/CPU/250_52360_intel_core_i5_10700k.jpg,- Dòng Core i thế hệ thứ 10 dành cho máy bàn của Intel.- 8 nhân & 16 luồng.- Xung nhịp: 3.8GHz (Cơ bản) / 5.1GHz (Boost).- Socket: LGA1200.- Không kèm sẵn tản nhiệt từ hãng.
CPUA204,"CPU AMD Athlon 200GE (3.2GHz, 2 nhân 4 luồng, 4MB Cache, Radeon Vega 3, 35W) - Socket AMD AM4",24 tháng,1299000,1199000,img/CPU/250_43997_hnc_athlon_200ge_right_facing_850x850.jpg,"- AMD Ryzen Athlon 200GE.- 2 nhân 4 luồng, xung nhịp 3.2 GHz.- Đồ họa tích hợp Radeon Vega 3.- DDR4 2667, Dual Channel.- Socket AM4."
CPUI377,"CPU Intel Core i7-10700KF (3.8GHz turbo up to 5.1Ghz, 8 nhân 16 luồng, 16MB Cache, 125W) - Socket Intel LGA 1200",24 tháng,0,9999000,img/CPU/250_52361_intel_core_i5_10700kf.jpg,- Dòng Core i thế hệ thứ 10 dành cho máy bàn của Intel.- 8 nhân & 16 luồng.- Xung nhịp: 3.8GHz (Cơ bản) / 5.1GHz (Boost).- Socket: LGA1200.- Không kèm sẵn tản nhiệt từ hãng.
CPUI400,"CPU Intel Xeon W-1250P (4.1 GHz turbo up to 4.8 GHz, 6 nhân 12 luồng, 12MB Cache, 125W) - Socket Intel LGA 1200",24 tháng,9499000,9099000,img/CPU/250_53879_intel_xeon_w.jpg,
CPUI264,"CPU Intel Xeon Silver 4114 (2.2GHz turbo up to 3.0GHz, 10 nhân, 20 luồng, 13.75MB Cache, 85W) - Socket Intel LGA 3647",24 tháng,0,19989000,img/CPU/250_40826_hnc_intel_xeon_silver_right_facing_850x850.jpg,- Dòng sản phẩm chuyên biệt dành cho server/máy trạm.- 10 nhân & 20 luồng.- Xung nhịp: 2.2GHz (Cơ bản) / 3.0GHz (Boost).- Socket: LGA 3647.- Hỗ trợ RAM ECC.
CPUI308,"CPU Intel Core i9-9920X (3.5GHz turbo up to 4.4GHz, 12 nhân 24 luồng, 19.25MB Cache, 165W) - Socket Intel LGA 2066",24 tháng,0,17899000,img/CPU/250_45080_hnc_intel_core_i9_xtreme_right_facing_850x850.jpg,"- Tiến trình sản xuất 14 nm.- 12 nhân, 24 luồng, xung nhịp cơ bản 3.5 GHz, xung nhịp Boost tối đa 4.4 GHz.- Hỗ trợ RAM DDR4.- Không đi kèm quạt tản nhiệt.- Đã mở khóa hệ số nhân."
CPUI335,"CPU Intel Xeon Silver 4214 (2.2GHz turbo up to 3.2GHz, 12 nhân, 24 luồng, 16.5 MB Cache, 85W) - Socket Intel LGA 3647",24 tháng,0,19989000,img/CPU/250_49343_hnc_intel_xeon_silver_right_facing_850x850.jpg,- Dòng sản phẩm chuyên biệt dành cho server/máy trạm.- 12 nhân & 24 luồng.- Xung nhịp: 2.2GHz (Cơ bản) / 3.2GHz (Boost).- Socket: LGA 3647.- Hỗ trợ RAM ECC.
