Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
MOAC060,Màn hình Acer Nitro VG270 (27 inch/FHD/LED/IPS/HDMI+VGA/250 cd/m²/75Hz/1ms/2 x 4 W Speakers/AMD FreeSync),24 tháng,5377900,4889000,img/MONITOR/250_43193_vg270__1_.jpg,- Size	27”.- Độ phân giải	Full HD (1920 x 1080).- Tỷ lệ khung hình	16:9.- Thời gian đáp ứng: 	1 ms.- Refresh Rate	75 Hz.
MOHP113,Màn hình HP 27X (27 inch/FHD/LED/144Hz/4ms/350cd/m²/DP+HDMI),24 tháng,7299000,5699000,img/MONITOR/250_44048_hp_27x__4_.png,"- Chủng loại	 Màn hình HP 27""27X LED 144Hz.- Kích Thước Màn Hình	27''.- Độ Sáng Màn Hình	4000 cd/m².- Độ Phân Giải Màn Hình	1920*1080.- Thời Gian Đáp Ứng	1ms."
MODE148,Màn hình Dell Ultrasharp U2419H (23.8 inch/FHD/IPS/DP+HDMI/250cd/m²/60Hz/8ms),24 tháng,5499000,5259000,img/MONITOR/250_44883_dell_u2419h__4_.png,- Kích Thước Màn Hình	23.8 INCH.- Độ Sáng Màn Hình	250 cd/m² .- Tỉ Lệ Tương Phản Động MEGA	1000:1  .- Độ Phân Giải Màn Hình	Full HD 1920x1080 60 Hz.- Thời Gian Đáp Ứng	5 ms.
MOVI092,Màn Hình Viewsonic VG2455 (23.8/FHD/LED/IPS/250cd/m²/DP+HDMI/60Hz/5ms),24 tháng,5490000,5059000,img/MONITOR/250_46282_viewsonic_vg2455__4_.png,- Loại màn hình: màn hình phẳng.- Tỉ lệ: 16:9.- Kích thước: 23.8 inch.- Tấm nền: IPS.- Độ phân giải: Full HD (1920x1080).
MOHP132,Màn hình HP V220 (21.5 inch/FHD/LED/200cd/m²/HDMI+VGA/60Hz/5ms),24 tháng,0,2349000,img/MONITOR/250_48804_hp_v220__4_.png,- Tên Hãng	HP.- Model	V220 - 4CJ27AA.- Kiểu màn hình	Màn hình văn phòng.- Kích thước màn hình	21.5Inch .- Độ sáng	200cd/m2.
MODE034,Màn hình Dell Ultrasharp U2412M (24 inch/WUXGA/IPS/300cd/m²/DVI-D+VGA+DP/60Hz/8ms),24 tháng,4729000,4299000,img/MONITOR/250_6809_dell_u2412m__4_.png,- Kiểu màn hình	Màn hình rộng.- Kích thước màn hình	24Inch LED.- Độ sáng	300cd/m2.- Tỷ lệ tương phản	2.000.000 : 1.- Độ phân giải	1920x1200Dpi.
MOVI104,Màn hình Viewsonic XG2705 (27 inch/ FHD/LED/IPS/144Hz/1ms/250 nits/HDMI+DP/FreeSync),24 tháng,8199000,7249000,img/MONITOR/250_51942_mat_truoc_xg2705.png,- Thời gian phản hồi 1ms.- Công nghệ SuperClear® IPS.- Công nghệ AMD FreeSync™.- Độ phân giải Full HD 1080p.- Thiết kế công thái học cho game thủ.
MOAC065,Màn hình Acer ED273A (27 inch/FHD/VA/144Hz/250 cd/m²/VGA+DVI+HDMI/4ms/AMD Freesync),24 tháng,8017900,7289000,img/MONITOR/250_47172_ed273a__1_.jpg,- Kích thước	27 inch.- Độ phân giải	1920 x 1080.- Tấm nền  	VA.- Bề mặt hiển thị	Chống lóa.- Tốc độ làm tươi	144Hz.
MOLG130,Màn hình LG 24MP59G-P (23.8 inch/FHD/IPS/75Hz/1ms/250nits/DP+HDMI+VGA),24 tháng,0,3189000,img/MONITOR/250_37126_lg_24mp59g__4_.png,- Kích thước màn hình	23.8Inch IPS.- Độ sáng	250cd/m2.- Tỷ lệ tương phản	5.000.000:1.- Độ phân giải	Full HD (1920x1080).- Thời gian đáp ứng	1ms.
MOHK005,Màn hình HKC NB27C2 (27 inch/Full HD/LED/VA/280cd/m²/DVI+HDMI+DP/144Hz/4ms/cong),24 tháng,6399000,5089000,img/MONITOR/250_42392_hkc_nb27c2__4_.png,"- Kích Thước Màn Hình	27"".- Độ Sáng Màn Hình	280cd/m2.- Tỉ Lệ Tương Phản Động MEGA	3000:1.- Độ Phân Giải Màn Hình	Full HD (1080p) 1920 x 1080 .- Thời Gian Đáp Ứng	4ms."
MOVI095,Màn hình Viewsonic VX2758-P-MHD (27 inch/FHD/LED/TN/144Hz/1ms/300 nits/DP+HDMI),24 tháng,7199000,6499000,img/MONITOR/250_48275_viewsonic_vx2758__4_.png,- Tên Hãng	Viewsonic.- Model	VX2758-C-MHD 144Hz Curved.- Kiểu màn hình	Màn hình gaming.- Kích thước màn hình	27Inch .- Độ sáng	280cd/m2.
MOHP109,Màn hình HP 24FW (23.8 inch/FHD/LED/IPS/250cd/m²/HDMI+VGA/60Hz/5ms),24 tháng,3739000,3599000,img/MONITOR/250_44044_hp_24w__4_.png,"- Chủng loại	Màn hình HP 23.8""24FW LED IPS.- Kích Thước Màn Hình	23.8”.- Độ Sáng Màn Hình	.- 250 cd/m² .- Tỉ Lệ Tương Phản Động MEGA	."
MOAO129,Màn hình AOC 20E1H/74 (19.5 inch/HD/LED),24 tháng,0,1759000,img/MONITOR/250_44879_aoc_20e1h__4_.png,"- Chủng loại	AOC 19.5""20E1H/74 LED.- Kích Thước Màn Hình	19.5”.- Độ Sáng Màn Hình	200 cd/m².- Tỉ Lệ Tương Phản Động 	20M:1 .- Độ Phân Giải Màn Hình	1600*900 ."
MOLG151,Màn hình LG 27MK600M-B (27 inch/FHD/IPS/75Hz/5ms/250nits/DP+HDMI),24 tháng,0,4489000,img/MONITOR/250_45488_lg_27mk600m__4_.png,"- Màn hình IPS FHD (1920 x 1080) 27"".- Công nghệ Radeon FreeSync™.- Điều khiển trên màn hình.- HDMI kép.- Tiết kiệm năng lượng thông minh."
MOAS131,Màn hình Asus VZ229HE (21.5 inch/FHD/LED/IPS/HDMI+VGA/250cd/m²/60hz/5ms),24 tháng,3199000,3099000,img/MONITOR/250_46012_asus_vz229he___4_.png,- Kích thước	21.5 inch.- Độ phân giải	1920 x 1080.- Tấm nền  	IPS.- Bề mặt hiển thị	Chống lóa 3H.- Tốc độ làm tươi	60 Hz.
MOAS144,Màn hình ASUS VL249HE (23.8 inch/FHD/IPS/75Hz),24 tháng,0,3699000,img/MONITOR/250_50267_asus_vl249he__4_.png,- Phủ bề mặt	chống lóa / phủ cứng 3H.- Độ phân giải	1920 x 1080.- Tần số quét	75 Hz.- Góc nhìn	178° (H) / 178° (V).- Màu màn hình	16.7 triệu.
MOAS150,Màn hình ASUS VP249HE (23.8inch/FHD/IPS/75Hz/5ms/250nits/HDMI+Dsub),36 tháng (Adapter bảo hành 12 tháng),0,3399000,img/MONITOR/250_51569_asus_vp249he__4_.png,"- Kích thước: 23.8"" (1920 x 1080), Tỷ lệ 16:9.- Tấm nền IPS, Góc nhìn: 178 (H) / 178 (V).- Thời gian phản hồi 5 ms.- HIển thị màu sắc: 16.7 triệu màu.- Cổng hình ảnh: 1 x HDMI, 1 x VGA/D-sub."
MOBJ003,Màn hình BJX V24M9 (24 inch/FHD/LED/PLS/75Hz),24 tháng,0,2699000,img/MONITOR/250_51063_bjx_v24m9__1_.jpg,"- Sử dụng tấm nền cao cấp Samsung PLS.- Tần số quét 75Hz , độ phân giải Full HD 1920×1080.- Hỗ trợ bộ lọc màu, lọc ánh sáng xanh bảo vệ mắt.- Thiết kế siêu mỏng – Ultra-Thin.- Viền màn hình siêu mỏng – SLIM BEZEL."
