Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
KBDK161,Bàn phím cơ Ducky One Horizon Fullsize Red Switch,24 tháng,2749000,2299000,img/KEY_BOARD/250_40581_ban_phim_ducky_one_horizon_fullsize_red_switch_0000_1.jpg,- Bàn phím cơ cao cấp trong series Không Led đến từ Ducky.- Thiết kế mỏng nhất có thể để giảm thiểu tổn thương lên cổ tay.- Keycap được nâng cấp lên chất liệu nhựa PBT Doubleshot cao cấp .- Ducky luôn sử dụng 100% Cherry Switch cho sản phẩm của mình.- Phù hợp với các game thủ thích sự đơn giản của bàn phím.
KBIK031,Bàn phím cơ iKBC CD87 PBT Cherry Brown Switch,24 tháng,1649000,1499000,img/KEY_BOARD/250_41606_keyboard_ikbc_cd87_pbt_cherry_brown_switch_0001_1.jpg,- Phiên bản rút gọn của iKBC CD108 bán rất chạy tại HANOICOMPUTER.- Loại bỏ khu vực phím số tiết kiệm diện tích trên mặt bàn .- Sử dụng 100% Switch Cherry MX chất lượng cao.- Nổi bật với chất liệu keycap nhựa PBT cho cảm giác gõ rất tốt.- Sự lựa chọn tuyệt vời cho các game thủ có chi phí đầu tư hạn hẹp.
KBNM006,Bàn phím gaming Newmen E335P - USB,24 tháng,199000,159000,img/KEY_BOARD/250_48308_ban_phim_newmen_e335p_usb_1.jpg,
KBDA029,Bàn phím cơ Dareu EK87 Mechanical Red Switch 87 Black,24 tháng,689000,599000,img/KEY_BOARD/250_46297_keyboard_dareu_ek87_mechanical_red_switch_87_black_1.jpg,- Bàn phím Dareu EK87 .- Phiên bản thay thế cho DK87.- Thiết kế 87 phím gọn nhẹ.- Sử dụng D Switch độc quyền DareU.- Đèn led đỏ.
KBED023,Bàn phím cơ E-Dra EK387 Pro Mechanical Gaming Outemu Red switch Black Gray USB,24 tháng,1099000,949000,img/KEY_BOARD/250_51207_ban_phim_co_e_dra_ek387_pro_mechanical_gaming_outemu_red_switch_black_gray_usb.jpg,- Bàn phím cơ E-Dra EK387 Pro Mechanical Gaming Outemu Red switch.- Thiết kế 87 phím nhỏ gọn.- Sử dung switch Outemu cho độ bền cao.- Keycap PBT Doubleshot.
KBBJ002,Bàn phím cơ BJX KM9 Fullsize Mechanical Red Switch Led USB,24 tháng,0,799000,img/KEY_BOARD/250_51074_ban_phim_co_bjx_km9_fullsize_mechanical_red_switch_led_usb_1.jpg,"- Thương hiệu cao cấp đến từ Mỹ.- Bàn phím cơ full 104 phím, sử dụng switch Kailh LH danh tiếng với Led Blue Gaming đa hiệu ứng ánh sáng.- Độ bền lên đến 50 triệu lần nhấn.- Tích hợp Chức năng Anti-ghosting, Gaming mode tắt phím Windows, Điều chỉnh macro ngay trên phím.- Bảo hành 25 tháng đổi mới trong suốt thời gian bảo hành."
KBAK089,Bàn phím AKKO ACG84 Dragon Ball Super Goku - Cherry Switch Brown,24 tháng,2789000,2499000,img/KEY_BOARD/250_54625_ban_phim_akko_acg84_dragon_ball_super_goku_cherry_switch_brown_0003_4.jpg,"- Bàn phím AKKO ACG84 Dragon Ball Super Goku.- Model: 3084 (84 keys).- Kết nối: USB Type C, có thể tháo rời.- Hỗ trợ NKRO.- Keycap: PBT Dye-Subbed, OEM profile."
HHTL726,Bàn phím Asus TUF K1 RGB (Hàng Thanh Lý - KBAS024),24 tháng,1189000,789000,img/KEY_BOARD/250_56162_53482_ban_phim_gaming_asus_tuf_k1_rgb_0001_2.jpg,"- Tactile TUF Gaming switch với tính năng NKRO 19 phím để có hiệu suất nhanh, đáng tin cậy.- Hiệu ứng ánh sáng RGB động và thanh ánh sáng gắn 2 bên .- Núm âm lượng chuyên dụng để điều chỉnh âm thanh nhanh chóng và dễ dàng.- Khung nhựa được gia cố, bền bỉ với khả năng chống tràn lên đến 300 ml cho độ ổn định và độ tin cậy hàng ngày.- Các phím được lập trình với chức năng ghi macro nhanh và bộ nhớ trong để chơi trò chơi được cá nhân hóa."
KBLP154,Bàn phím cơ Leopold FC750R White Pink OE Cherry Brown Switch,24 tháng,3149000,2899000,img/KEY_BOARD/250_51736_mat_chinh_dien_ban_phim_co_leopold_fc750r_white_pink_oe_cherry_brown_switch.jpg,- Bàn phím cơ Leopold FC750R White Pink OE.- Thương hiệu bàn phím cơ lâu đời đến từ Hàn Quốc.- Phiên bản đặc biệt với thiết kế màu keycap đặc trưng và độc đáo.- Keycap chất liệu PBT Doubleshot siêu bền.- Profile OEM thông thường dành cho những ai không quen keycap Low Profile.
KBSS037,Bàn phím SteelSeries APEX 3 RGB Water Resistant Whisper-Quiet Switches Gaming Black,24 tháng,1999000,1649000,img/KEY_BOARD/250_51986_tong_the_ban_phim_steelseries_apex_3_rgb_water_resistant_whisper_quiet_switches_gaming_black.jpg,- Bàn phím SteelSeries APEX 3 RGB .- Tính năng chống nước chuẩn IP32.- 10 vùng led RGB tuỳ chỉnh và hoạt động với Discord.- Switch chơi game ma sát thấp giảm tối đa tiếng ồn và có độ bền 20 triệu lần nhấn.- Kê tay nam châm cao cấp đi kèm.
KBRF008,Bàn phím cơ Realforce R2 Silent - Mechanical Topre 55gram switch Fullsize White R2S-US5-IV,24 tháng,0,6039000,img/KEY_BOARD/250_47353_keyboard_realforce_r2_silent_mechanical_topre_55gram_switch_fullsize_white_r2s_us5_iv_0000_1.jpg,"- Bàn phím RealForce R2 Silent.- Thương hiệu bàn phím cơ cao cấp nhất đến từ Nhật bản.- Thiết kế layout full-size 104 phím .- Switch Topre cao cấp, mang lại cảm giác gõ mượt mà, êm ái.- Tiếng ồn được giảm thiểu tối đa."
KBVM013,Bàn phím cơ Varmilo VA87M Koi - Mechanical Cherry Brown switch,24 tháng,3699000,3299000,img/KEY_BOARD/250_47107_keyboard_varmilo_va87m_koi_mechanical_cherry_brown_switch_0004_1.jpg,"- Bàn phím cơ Varmilo Koi VA87M.- Họa tiết Koi mang đậm chất Nhật Bản.- Keycap PBT in Dye-sub bền bỉ.- Sử dụng switch Cherry MX.- Vỏ phím được phủ UV giúp chống nước, sự ăn mòn và thời tiết."
KBVM019,Bàn phím cơ Varmilo VA87M Chicken Dinner PUBG - Mechanical Cherry Brown switch,24 tháng,3499000,3299000,img/KEY_BOARD/250_47717_keyboard_varmilo_va87m_chicken_dinner_pubg_mechanical_cherry_brown_switch_0000_1.jpg,"- Bàn phím cơ Varmilo VA87M Chicken Dinner PUBG.- Keycap in theo phong cách tựa game PUBG độc đáo.- Chất liệu keycap làm bằng nhựa PBT, công nghệ in Dye-Sub bền bỉ.- Dây cáp có thể tháo rời.- Sử dụng switch Cherry MX cho cảm giác gõ rất tốt."
KBLP142,Bàn phím cơ Leopold FC750R PD Dark Gray / Yellow Font PBT Doubleshot Cherry Blue switch ,24 tháng,3499000,3099000,img/KEY_BOARD/250_49476_ban_phim_co_leopold_fc750r_pd_dark_gray_yellow_font_pbt_doubleshot_cherry_blue_switch_0002_1.jpg,- Bàn phím cơ Leopold FC750R PD Dark Gray / Yellow Font.- Thương hiệu bàn phím cơ lâu đời đến từ Hàn Quốc.- Phiên bản đặc biệt với thiết kế màu keycap đặc trưng và độc đáo.- Keycap chất liệu PBT Doubleshot siêu bền.- Sử dụng 100% Switch Cherry chất lượng cao nhất được chọn lọc kĩ càng.
KBIK047,Bàn phím IKBC W200 (TKL / Wireless / PBT / Cherry Brown switch),24 tháng,0,2099000,img/KEY_BOARD/250_51254_ban_phim_ikbc_w200_tkl_wireless_pbt_cherry_brown_switch_0001_1.jpg,"- Bàn phím IKBC W200.- Phiên bản kết nối không dây qua giao thức Wireless 2.4Ghz.- Sử dung switch Cherry nổi tiếng cho cảm giác gõ tốt và độ bền cao.- Keycap Thick PBT.- Build quality chắc chắn, chất lượng tốt trong tầm giá."
KBAK028,Bàn phím cơ Akko Designer Studio MOD001 Macaw Cherry Brown switch,24 tháng,5099000,4799000,img/KEY_BOARD/250_52382_ban_phim_co_akko_designer_studio_mod001_macaw_cherry_brown_switch_0000_1.jpg,"- Bàn phím cơ Akko Designer Studio MOD001 Macaw Cherry Brown switch.- Model: 3087 (Tenkeyless, 87 keys).- Plate nhôm được chế tác theo công nghệ CNC, được anode hóa tỉ mỉ, chi tiết.- Profile: OSA.- Kết nối: USB Type C, có thể tháo rời."
KBAK033,Bàn phím cơ Akko 3108 Dragon Ball Z Goku Akko Orange switch,12 tháng,1999000,1699000,img/KEY_BOARD/250_52805_ban_phim_co_akko_3108_dragon_ball_z_goku_akko_orange_switch_0000_1.jpg,- Bàn phím cơ Akko 3108 Dragon Ball Z Goku Akko Orange switch.- Layout full-size 108 phím.- Chuẩn kết nối USB type-C.- Sử dung switch Akko với độ bền lên đến 50 triệu lần nhấn .- Phiên bản đặc biệt với hoạ tiết mang phong cách của bộ truyện tranh Dragonball nổi tiếng.
KBED046,Bàn phím E-Dra EK501 Đen,12 tháng,0,159000,img/KEY_BOARD/250_53096_ban_phim_e_dra_ek501_den_0001_2.jpg,- Bàn phím E-Dra EK501 Đen.- Số lượng phím : 104 nút.- Chuẩn kết nối : USB.- Thiết kế phù hợp cho công việc văn phòng.
KBFU056,Bàn phím cơ Fuhlen G87L (USB/Led/Đen),24 tháng,679000,549000,img/KEY_BOARD/250_54263_ban_phim_co_fuhlen_g87l_usb_led_den_0001_2.jpg,- Bàn phím cơ Fuhlen G87L .- Thiết kế TKL 87 phím gọn nhẹ.- Sử dụng Jixian switches tuổi thọ 50 triệu lần bấm.- Đèn nền led Rainbow với nhiều chế độ điều chỉnh.- Keycap ABS double shot cho độ bền tuyệt đối.
KBLP126,Keyboard Leopold FC750R PD Graphite Blue Font Cherry Brown switch,24 tháng,0,2799000,img/KEY_BOARD/250_48241_keyboard_leopold_fc750r_pd_sky_dolch_limited_edition_mechanical_cherry_brown_switch_black_grey_0000_1.jpg,- Bàn phím Leopold FC750R PD Sky Dolch Limited Edition.- Thương hiệu bàn phím cơ lâu đời đến từ Hàn Quốc.- Phiên bản đặc biệt với thiết kế màu keycap đặc trưng và độc đáo.- Keycap chất liệu PBT Doubleshot siêu bền.- Sử dụng 100% Switch Cherry chất lượng cao nhất được chọn lọc kĩ càng.
KBLP169,Bàn phím cơ Leopold FC210TP Black Numpad Cherry Red Switch,24 tháng,0,1249000,img/KEY_BOARD/250_51751_mat_chinh_dien_ban_phim_co_leopold_fc210tp_black_numpad_cherry_red_switch.jpg,"- Bàn phím cơ Leopold FC210TP Black Numpad Cherry Red Switch.- Thương hiệu bàn phím cơ lâu đời đến từ Hàn Quốc.- Phiên bản cụm phím số bổ trợ chức năng nhập liệu số cho các loại bàn phím layout Tenkeyless, 60%, v.v...- Keycap chất liệu thick PBT Doubleshot siêu bền.- Sử dụng 100% Switch Cherry chất lượng cao nhất được chọn lọc kĩ càng."
KBDK183,Bàn phím cơ Ducky One 2 TKL RGB Cherry Brown switch,24 tháng,2999000,2599000,img/KEY_BOARD/250_46807_keyboard_ducky_one_2_tkl_rgb_cherry_brown_switch_0002_1.jpg,"- Bàn phím Ducky One 2 TKL RGB Cherry Brown switch.- Thiết kế tối giản 87 phím, tiện lợi, gọn nhẹ.- Day cáp Type-C tháo rời tiện lợi.- Led RGB 16.8 triệu màu với nhiều hiệu ứng.- Sử dụng switch Cherry MX RGB."
KBLP137,Bàn phím cơ Leopold FC900R PD Dark Gray / Yellow Font PBT Doubleshot Cherry Blue switch ,24 tháng,0,3399000,img/KEY_BOARD/250_49471_ban_phim_co_leopold_fc900r_pd_dark_gray_yellow_font_pbt_doubleshot_cherry_blue_switch_0000_1.jpg,- Bàn phím cơ Leopold FC900R PD Dark Gray / Yellow Font .- Thương hiệu bàn phím cơ lâu đời đến từ Hàn Quốc.- Phiên bản đặc biệt với thiết kế màu keycap đặc trưng và độc đáo.- Keycap chất liệu PBT Doubleshot siêu bền.- Sử dụng 100% Switch Cherry chất lượng cao nhất được chọn lọc kĩ càng.
KBED019,Bàn phím cơ quang E-Dra EK308 RGB (USB/Optical Switch/Đen),24 tháng,999000,899000,img/KEY_BOARD/250_51135_ban_phim_co_e_dra_ek308_rgb_optical_switch_usb.jpg,- Bàn phím cơ E-Dra EK308 RGB.- Switch quang cơ optical cho độ bền cao.- Tuổi thọ lên đến 100 triệu lần nhấn.- Tính năng chống nước.- Led RGB 16.8 triệu màu.
KBAK003,Bàn phím cơ AKKO 3084 World Tour Tokyo Pink Switch,24 tháng,0,1299000,img/KEY_BOARD/250_51886_tong_the_ban_phim_co_akko_3084_world_tour_tokyo_pink_switch.jpg,"- Bàn phím cơ AKKO 3084 World Tour Tokyo Pink Switch.- Model: 3084 (84 keys).- Kết nối: USB Type C, có thể tháo rời.- Hỗ trợ NKRO.- Keycap: 85% PBT."
KBAK019,Bàn phím cơ AKKO 3108S RGB PRO Pink Cherry MX Red Switch,24 tháng,0,2399000,img/KEY_BOARD/250_51902_tong_the_ban_phim_co_akko_3108s_rgb_pro_pink_cherry_mx_red_switch.jpg,"- Bàn phím cơ AKKO 3108S RGB PRO Pink Cherry MX Red Switch.- Model: 3108 (Fullsize, 108 keys).- Kết nối: USB Type C, có thể tháo rời.- Hỗ trợ NKRO.- Keycap: PBT."
KBED044,Bàn phím cơ E-Dra EK387 Pro PBT Cherry Brown switch Đen Xám,24 tháng,1799000,1349000,img/KEY_BOARD/250_52719_ban_phim_co_e_dra_ek387_pro_pbt_cherry_brown_switch_den_xam_0001.jpg,- Bàn phím cơ E-Dra EK387 Pro PBT Cherry Brown switch.- Thiết kế 87 phím nhỏ gọn.- Sử dung switch cherry nổi tiếng của Đức.- Keycap PBT Doubleshot.
KBED053,Bàn phím cơ E-Dra EK3104 Pro (Cherry Brown switch/PBT/USB/Đen),24 tháng,1849000,1599000,img/KEY_BOARD/250_54663_ban_phim_co_e_dra_ek3104_pro_cherry_brown_switch_pbt_usb_den_1.png,"- Bàn phím cơ E-DRA EK3104 Pro Brown switch.- Bàn phím cơ sử dụng switch Cherry danh tiếng.- Thiết kế 104 phím tiêu chuẩn.- Keycap PBT Double Shot chống bóng, siêu bền.- Dây USB tháo rời với jack nối trên phím Type C."
KBAK096,Bàn phím AKKO 3087 Dragon Ball Z Goku (Cherry Switch Red),24 tháng,2719000,2299000,img/KEY_BOARD/250_54679_ban_phim_akko_3087_dragon_ball_z_goku_cherry_switch_red_0002_3.jpg,"- Bàn phím AKKO 3087 Dragon Ball Z Goku.- Model: 3087 (TKL, 87 keys).- Kết nối: USB Type C, có thể tháo rời.- Hỗ trợ NKRO.- Keycap: PBT Dye-Subbed, OEM profile."
KBKE026,Bàn phím cơ Keychron K8 C1 (Gateron Red switch/nhôm/RGB),24 tháng,2629000,2189000,img/KEY_BOARD/250_55576_ban_phim_co_keychron_k8_c1_gateron_red_switch_nhom_rgb_0001_2.jpg,"- Bàn phím cơ Keychron K8.- Thiết kế layout Tenkeyless truyền thống.- Kiểu kết nối : Bluetooth / Cable Type-C.- Trang bị kết nối Bluetooth 5.1 cao cấp, có khả năng kết nối 3 thiết bị cùng lúc.- Tương thích tốt với Layout của Mac."
KBAK111,Bàn phím cơ AKKO 3087 v2 One Piece - Chopper (USB/AKKO Pink switch),24 tháng,1799000,1499000,img/KEY_BOARD/250_55902_ban_phim_co_akko_3087_v2_one_piece_chopper_usb_akko_pink_switch_0000_1.jpg,"- Bàn phím cơ AKKO 3087 v2 One Piece - Chopper.- Model: 3087 (TKL, 87 keys).- Kết nối: USB Type C, có thể tháo rời – Kích thước: 442 x 140 x 40mm.- Hỗ trợ NKRO.- Keycap: PBT Dye-Subbed, OEM profile."
KBFC185,Bàn phím cơ Filco Majestouch Convertible 2 Hakua (USB/Fullsize/Blue switch/Trắng) (FKBC104MC/EMW2),24 tháng,4679000,4069000,img/KEY_BOARD/250_55918_ban_phim_co_filco_majestouch_convertible_2_hakua_fkbc104mc_emw2_0000_1.jpg,"- Bàn phím cơ Filco Majestouch Convertible 2 Hakua Fullsize.- Thương hiệu phím cơ nổi tiếng đến từ Nhật Bản.- Layout : Fullsize 104 phím.- Sử dung switch Cherry MX từ Đức, Switch được mạ vàng cho kết nối tín hiệu tốt hơn.- Kết nối tối đa 5 thiết bị cùng lúc."
KBRZ089,Bàn phím Razer BlackWidow V3 (USB/Green switch) (RZ03-03540100-R3M1),24 tháng,3679000,3199000,img/KEY_BOARD/250_56226_ba_n_phi_m_razer_blackwidow_v3_rz03_03540100_r3m1_0002_3.jpg,- Bàn phím Razer BlackWidow V3.- Sử dụng switch cơ học độc quyền của Razer với phần housing được làm trong suốt giúp cho đèn led hiển thị đẹp hơn.- Keycap ABS Doubleshot.- Led RGB Chroma 16.8 triệu màu.- Thiết kế với vật liệu nhôm chắc chắn.
KBFU004,Bàn phím Fuhlen L411 USB Black,24 tháng,0,189000,img/KEY_BOARD/250_10802_keyboard_fuhlen_l411_usb_black.jpg,- Bàn phím Fuhlen L411.- Kiểu kết nối: Có dây .- Chuẩn kết nối: USB .- Phím chức năng: Standard .- Màu: Đen.
KBLO062,Bàn phím Logitech K480 Bluetooth,24 tháng,1099000,799000,img/KEY_BOARD/250_32202_keyboard_logitech_k480_bluetooth_0000_1.jpg,"- Bàn phím Bluetooth Logitech K480.- Hỗ trợ kết nối 3 thiết bị không dây cùng lúc.- Dễ dàng chuyển đổi thiết bị bằng công tắc Easy-Switch.- Layout thiết kế phù hợp cho các hệ điều hành Window, MAC."
KBDA005,Bàn phím Dareu LK145 USB Black,24 tháng,579000,489000,img/KEY_BOARD/250_38049_keyboard_dareu_lk145_usb_black_1.jpg,- Bàn phím Dareu LK145.- Đèn LED 7 màu rực rỡ.- Thiết kế góc cạnh Fullsize.- Hiệu ứng Led 5 loại.- Mặt trên được làm bằng kim loại chống cháy.
KBCS045,Bàn phím cơ Corsair K63 Wireless - Cherry MX Red (USB/Blue Led) (CH-9145030-NA),24 tháng,2899000,2699000,img/KEY_BOARD/250_41060_keyboard_corsair_k63_wireless_mechanical_cherry_mx_red_blue_led_0001_1.jpg,- Bàn phím chơi game Corsair K63 Wireless.- 2 chế độ không dây và có dây.- Sử dụng Cherry switch cao cấp.- Phím Multimedia tiện lợi.- Tính năng Anti-Ghosting.
KBFC178,Bàn phím cơ Filco Majestouch Minila Air Matcha red switch  (FFBT67MRL/ECW),24 tháng,0,3729000,img/KEY_BOARD/250_45096_filco_majestouch_minila_air_matcha_red_switch_ffbt67mrlecw_0002_1.jpg,- Thương hiệu Filco lừng danh Nhật Bản.- Phiên bản mới nhất của Filco Minila Air Bluetooth.- Thiết kế siêu gọn gàng với tông màu Matcha cá tính.- Công nghệ không dây Bluetooth kết nối với 3 thiết bị cùng lúc.- Sử dụng 2 viên pin AA để hoạt động.
KBDG062,Bàn phím cơ Durgod V87S RGB Mechanical Cherry Blue Switch Black,24 tháng,2889000,2499000,img/KEY_BOARD/250_45291_keyboard_durgod_v87s_rgb_mechanical_cherry_blue_switch_black_0000_1.jpg,"- Thương hiệu bàn phím cơ Durgod hoàn toàn mới.- Được sản xuất và lắp ráp tại nhà máy uy tín tại Trung Quốc.- Chất lượng tổng thể cứng cáp, chắc chắn.- Switch sử dụng 100% Cherry MX from Germany.- Anti-Ghosting 100% và NKRO qua cổng USB."
HATL577,Keyboard Razer BlackWidow Chroma Overwatch Edition (RZ03-01222400-R3M1),24 tháng,2899000,1499000,img/KEY_BOARD/250_50424_keyboard_razer_blackwidow_chroma_overwatch_edition_rz03_01222400_r3m1_0000_1.jpg,
KBED012,Bàn phím cơ E-Dra EK387 Mechanical Gaming Outemu Blue switch led RGB,24 tháng,0,699000,img/KEY_BOARD/250_49005_ban_phim_e_dra_ek387_mechanical_gaming_outemu_blue_switch_led_rgb.jpg,- Bàn phím E-Dra EK387 RGB.- Phiên bản nâng cấp với led RGB 16.8 triệu màu.- Thiết kế 87 phím nhỏ gọn.- Sử dung switch Outemu.- Keycaps ABS Double shot.
KBAS021,Bàn phím cơ Asus ROG Strix Flare Pink (XA01),24 tháng,0,3799000,img/KEY_BOARD/250_48167_rog_strix_flare_pnk_ltd__pink__4.jpg,"- Bàn phím cơ Asus ROG Strix Flare Pink.- Sử dung switch Cherry RGB của Đức, cho sự bền bỉ lần cảm giác gõ tốt.- Biểu tượng ROG có thể chiếu sáng, có thể tuỳ chỉnh biểu tượng.- Tích hợp đầy đủ các phím chức năng Multimedia, núm xoay volume.- Đi kèm kê tay rời."
KBLP152,Bàn phím cơ Leopold FC900R White Pink OE Cherry Brown Switch,24 tháng,3349000,2899000,img/KEY_BOARD/250_51734_mat_chinh_dien_ban_phim_co_leopold_fc900r_white_pink_oe_cherry_brown_switch.jpg,"- Bàn phím cơ Leopold FC900R White Pink OE Cherry Brown Switch.- Sử dụng bộ Switch Cherry 100% chính hãng từ nước Đức.- Keycap PBT Doubleshot.- Thiết kế cổ điển, chất lượng tuyệt vời.- Miếng vải lót đệm ngăn tiếng ồn tối đa."
KBCS059,Bàn phím cơ Corsair K95 Platinum XT RGB Mechanical Gaming Cherry MX Brown Switch (CH-9127412-NA),24 tháng,4499000,4299000,img/KEY_BOARD/250_51721_mat_chinh_dien_ban_phim_co_corsair_k95_platinum_xt_rgb_mechanical_gaming_cherry_mx_brown_switch_ch_9127412_na.jpg,"- Bàn phím cơ Corsair K95 Platinum XT RGB Mechanical Gaming Cherry MX Brown Switch.- Chiếc bàn phím Cao Cấp Nhất của Corsair, thương hiệu Mĩ.- Corsair sử dụng 100% Switch phím cơ đến từ Cherry.- Được bổ sung thêm khu vực led viền trên rất đẹp.- Dãy phím Macro có thể gán nhiều chức năng đặc biệt trong game."
