Code,Name,cpu-bo-vi-xu-ly,mainboard-bo-mach-chu,ram-bo-nho-trong,o-cung-hdd-desktop,o-cung-ssd,odd-o-dia-quang,vga-card-man-hinh,vo-case,nguon-may-tinh,acbel,aerocool,asus,cisco,coolermaster,corsair,fsp,gamemax,gigabyte,hangkhac,jetek,jupistar,kenoo,sama,seasonic,silverstone,superflower,thermaltake,xigmatek,xtech,duoi-2trieu,2trieu-4trieu,4trieu-8trieu,tren-8trieu,duoi-400w,400w-550w,550w-650w,650w-800w,800w-1000w,tren-1000w,80-plus,80-plus-bronze,80-plus-gold,80-plus-platinum,80-plus-titanium,non-modular-day-lien-toan-bo,full-modular-day-roi-toan-bo,semi-modular-day-roi-tru-24-pin-8-pin,1-1,1-1-1,2-1-1,1-2,3-4,5-6,7-1,1-4,5-8,9-12,13-16,1-5-1-1-1,6-10-1-1-1,flex-atx,atx-1,sfx
PWJE017,Nguồn Jetek E550 550W (Màu Đen/Led RGB ),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No
PWFP021,Nguồn FSP Power Supply HYDRO X Series HGX550 Active PFC (80 Plus  Gold/Màu Đen),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No
PWCO078,Nguồn Corsair Series CV 650 650W (80 Plus Brone/Mầu Đen) ,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No
PWFP006,Nguồn FSP Power Supply HYN Series HYN550ATX  Active PFC (Màu Đen),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
PWFP035,Nguồn FSP Power Supply HEXA 85+ Series Model HA450 Active PFC  (80 Plus  Bronze/Direct Cable /Micro ATX/Màu Đen),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No
PWFP037,Nguồn FSP Power Supply HEXA 85 Series Model HA650 Active PFC (80 Plus  Bronze/Direct Cable/Micro ATX/Màu Đen),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No
PWFP049,Nguồn FSP Power Supply FlexGURU Series Model FSP250-50FGBBI  Active PFC (80 Plus /Flex ATX/Màu Đen),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No
PWFP028,Nguồn FSP Power Supply AURUM PT Series PT 1200FM   Active PFC (80 Plus  Platinum/Full Modular/Màu Đen),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
PWFP038,Nguồn FSP Power Supply HYDRO PTM Series Model HPT650M Active PFC (92 Plus  Platinum/Full Modular /Micro ATX/Màu Đen),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No
PWFP043,Nguồn FSP Power Supply HYPER M85+ Series Model HA550M Active PFC (80 Plus  Bronze/Direct Cable/Micro ATX/Màu Đen),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No
