Code,Name,vga-nvidia,vga-amd,amd,asrock,asus,evga,galax,gigabyte,hp,inno3d,leadtek,msi,palit,pny,quadro,sapphire,zotac,duoi-2trieu,2trieu-3trieu,3trieu-5trieu,5trieu-7trieu,7trieu-9trieu,9trieu-12trieu,12trieu-15trieu,15trieu-18trieu,18trieu-24trieu,tren-24trieu,gaming-1,do-hoa-kien-truc,pho-thong-van-phong,nvidia-gt-710,nvidia-gt-1030,nvidia-gtx-1650,nvidia-gtx-1650-super,nvidia-gtx-1660,nvidia-gtx-1660-super,nvidia-gtx-1660-ti,nvidia-rtx-2060,nvidia-rtx-2060-super,nvidia-rtx-2070,nvidia-rtx-2070-super,nvidia-rtx-2080,nvidia-rtx-2080-super,nvidia-rtx-2080-ti,nvidia-quadro,amd-rx-570,amd-rx-580,amd-rx-5500-xt,amd-rx-5600-xt,amd-rx-5700,amd-rx-5700-xt,amd-rx-vega-64,nvidia-rtx-3070,nvidia-rtx-3080,nvidia-rtx-3090,gddr3,gddr5,gddr6,hbm2,gddr6x,1-gb,2-gb,4-gb,5-gb,6-gb,8-gb,11-gb,12-gb,16-gb-1,24-gb,32-gb-1,48-gb,10-gb,64-bit,128-bit,160-bit,192-bit,256-bit,352-bit,384-bit,2048-bit,3072-bit,4096-bit,320-bit
VGAS516,"Card màn hình ASUS GT710-SL-2GD5 (2GB GDDR5, 64-bit, DVI+HDMI)",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
VGAS492,"Card màn hình ASUS ROG STRIX RTX 2080 Super-8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 2x8-pin)",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
VGAS404,"Card màn hình ASUS PH-GT1030-O2G (2GB GDDR5, 64-bit, DVI+HDMI)",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
VGAS473,"Card màn hình ASUS ROG STRIX RTX 2060 Super-O8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 1x6-pin + 1x8-pin)",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
VGAS481,"Card màn hình ASUS ROG STRIX RTX 2070 Super-A8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 2x8-pin)",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
VGAS498,"Card màn hình ASUS ROG STRIX RX 5700-O8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 1x6-pin + 1x8-pin)",No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
VGAS497,"Card màn hình ASUS ROG STRIX RX 5700 XT-O8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 2x8-pin)",No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
VGAS475,"Card màn hình ASUS ROG STRIX RTX 2060 Super-8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 1x6-pin + 1x8-pin)",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
VGAS480,"Card màn hình ASUS ROG STRIX RTX 2070 Super-O8G GAMING (8GB GDDR6, 256-bit, HDMI+DP, 2x8-pin)",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
VGAS465,"Card màn hình ASUS ROG STRIX GTX 1650-A4G GAMING (4GB GDDR5, 128-bit, HDMI+DP)",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
VGAS428,Vga Card ASUS ROG STRIX RTX 2080 - O8G - GAMING,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
VGMS372,"Card màn hình MSI RX 5500 XT MECH OC (8GB GDDR6, 128-bit, HDMI+DP, 1x8-pin) ",No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
VGMS346,"Card màn hình MSI RTX 2060 Super GAMING X (8GB GDDR6, 256-bit, HDMI+DP, 1x8-pin)",Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
VGAS450,Card màn hình ASUS ROG STRIX GTX 1660 Ti - O6G GAMING,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
VGMS362,"Card màn hình MSI GTX 1660 Super GAMING X (6GB GDDR6, 192-bit, HDMI+DP) ",Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
