Code,Name,cpu-bo-vi-xu-ly,mainboard-bo-mach-chu,ram-bo-nho-trong,o-cung-hdd-desktop,o-cung-ssd,odd-o-dia-quang,vga-card-man-hinh,vo-case,nguon-may-tinh,acbel,aerocool,asus,cisco,coolermaster,corsair,fsp,gamemax,gigabyte,hangkhac,jetek,jupistar,kenoo,sama,seasonic,silverstone,superflower,thermaltake,xigmatek,xtech,duoi-2trieu,2trieu-4trieu,4trieu-8trieu,tren-8trieu,duoi-400w,400w-550w,550w-650w,650w-800w,800w-1000w,tren-1000w,80-plus,80-plus-bronze,80-plus-gold,80-plus-platinum,80-plus-titanium,semi-modular-day-roi-tru-24-pin-8-pin,non-modular-day-lien-toan-bo,full-modular-day-roi-toan-bo,1-1,1-1-1,2-1-1,5-6,7-1,1-2,3-4,1-4,5-8,9-12,13-16,1-5-1-1-1,6-10-1-1-1,atx-1,sfx,flex-atx
PWAE005,Nguồn Aero Cool Lux RGB 650W ( 80 Plus Bronze/Màu Đen/Led RGB),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No
PWGM001,Nguồn GAMEMAX VP450 - 450W (Màu Đen),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No
PWCO072,Nguồn Corsair RM Series RM750 - 750W (80 Plus  Gold Certified Full Modular/Màu Đen),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No
PWGM002,Nguồn GAMEMAX VP500 - 500W (80 Plus/Màu Đen),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No
PWAS001,Nguồn Asus ROG Thor 850W Platinum - RGB 850W 80 Plus Platinum Full Modular,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
PWGM003,Nguồn GAMEMAX VP600 - 600W (80 Plus/Màu Đen),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No
PWAS002,Nguồn Asus ROG Thor 1200W Platinum - RGB 1200W 80 Plus Platinum Full Modular,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
PWAE007,Nguồn Aerocool VX PLUS 350 230V N-PFC 350W ( Màu Đen),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
PWFP050,Nguồn FSP Power Supply HYDRO G PRO Series Model HG2-750  Active PFC (80 Plus Gold/Full Modular/Màu Đen),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No
PWXM019,Nguồn Xigmatek X-POWER II 500 450W (Màu Đen),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No
