Code,Name,mainboard-intel,mainboard-amd,asrock,asus,gigabyte,intel,msi,supermicro,duoi-2trieu,2trieu-3trieu,3trieu-5trieu,5trieu-7trieu,7trieu-9trieu,9trieu-12trieu,12trieu-15trieu,tren-15trieu,intel-lga-1151,intel-lga-1151-v2,intel-lga-1200,intel-dual-lga-2011,intel-dual-lga-2011-v3,intel-lga-2066,intel-lga-3647,intel-dual-lga-3647,amd-am4-1-1,amd-tr4-1,amd-trx4,amd-strx4,mini-itx-1-1,u-atx,m-atx-1,atx-1-1,e-atx-1-1,eeb,ssi-eeb,ceb-1,intel-h110-lga-1151,intel-h310-lga-1151-v2,intel-h410-lga-1200,intel-b360-lga-1151-v2,intel-b365-lga-1151-v2,intel-b460-lga-1200,intel-z370-lga-1151-v2,intel-z390-lga-1151-v2,intel-z490-lga-1200,intel-c246-lga-1151-v2,intel-c232-lga-1151,intel-c242-lga-1151,intel-x99-lga-2011-v3,intel-x299-lga-2066,intel-c422-lga-2066,intel-c602-dual-lga-2011,intel-c612-dual-lga-2011-v3,intel-c621-dual-lga-3647,intel-c622-lga-3647,amd-a320-am4,amd-b350-am4,amd-b450-am4,amd-b550-am4,amd-x370-am4,amd-x570-am4,amd-x399-tr4,amd-trx40-trx4,2-khe-1,4-khe-1,8-khe-1,12-khe-1,16-khe-1
MBAS558 ,"Mainboard ASUS ROG MAXIMUS XII FORMULA (Intel Z490, Socket 1200, ATX, 4 khe RAM DDR4)",Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
MBAS588,"Mainboard ASUS PRIME H410M-A (Intel H410, Socket 1200, m-ATX, 2 khe Ram DDR4)",Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
MBAS579,"Mainboard ASUS ROG STRIX B460-H GAMING (Intel B460, Socket 1200, ATX, 4 khe Ram DDR4)",Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
MBAS581,"Mainboard ASUS TUF GAMING B460-PRO (WIFI) (Intel B460, Socket 1200, ATX, 4 khe Ram DDR4)",Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
MBAS535,"Mainboard ASUS ROG STRIX X570-E GAMING (AMD X570, Socket AM4, ATX, 4 khe RAM DDR4)",No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
MBAS534,"Mainboard ASUS ROG X570 CROSSHAIR VIII HERO (AMD X570, Socket AM4, ATX, 4 khe RAM DDR4)",No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
MBAS533,"Mainboard ASUS ROG X570 CROSSHAIR VIII HERO Wifi (AMD X570, Socket AM4, ATX, 4 khe RAM DDR4)",No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
MBAS532,"Mainboard ASUS ROG X570 CROSSHAIR VIII FORMULA (AMD X570, Socket AM4, ATX, 4 khe RAM DDR4)",No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
MBAS596,"Mainboard ASUS TUF GAMING B550-PLUS (AMD B550, Socket AM4, ATX, 4 khe RAM DRR4)",No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
MBAS597,"Mainboard ASUS TUF GAMING B550M-PLUS (AMD B550, Socket AM4, m-ATX, 4 khe RAM DRR4)",No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
